id,geometry
106,"POLYGON ((108.22192604198491 16.05989349360248, 108.22197135922076 16.05988057630323, 108.22195027222584 16.059813837195918, 108.22190706544977 16.059834170459883, 108.22192604198491 16.05989349360248))"
107,"POLYGON ((108.22194880537278 16.059783483347474, 108.22199632843753 16.05981845790991, 108.22204085099331 16.059764391638506, 108.22199611377364 16.059727387140565, 108.22194880537278 16.059783483347474))"
108,"POLYGON ((108.2218726753917 16.05974722260242, 108.22190558588463 16.059798419824645, 108.22193067435356 16.059786896310655, 108.22198426004243 16.05973011167179, 108.22193810527747 16.059683665859907, 108.2218726753917 16.05974722260242))"
109,"POLYGON ((108.2218377736908 16.059739204277435, 108.22190808874112 16.05967631138284, 108.22187871739911 16.05964669362012, 108.22186410167576 16.05966156706287, 108.2218215623746 16.059669081404145, 108.2218377736908 16.059739204277435))"
110,"POLYGON ((108.22161554824976 16.05987798713344, 108.22166021234253 16.059883960188788, 108.22166983170666 16.059821201034367, 108.22162725581947 16.059813199576563, 108.22161554824976 16.05987798713344))"
111,"POLYGON ((108.22174170265846 16.059826439549582, 108.2217905161031 16.05981688759647, 108.22177143789779 16.059714390147953, 108.2217246586346 16.059698977348273, 108.22174170265846 16.059826439549582))"
112,"POLYGON ((108.22159026592365 16.059807209615386, 108.22163490934442 16.059804412898274, 108.22163189629106 16.05970997527786, 108.22158726401229 16.059717494182145, 108.22159780982551 16.059751875653593, 108.22159719161087 16.05978560710637, 108.22158743082824 16.059788327007077, 108.22159026592365 16.059807209615386))"
113,"POLYGON ((108.22147408670148 16.05994710799078, 108.22155077136892 16.059922653491498, 108.22154723862216 16.059903772418913, 108.22159605527362 16.059895569706082, 108.22158609589434 16.059813964816055, 108.2215295971386 16.05981881143107, 108.2215346014384 16.059870070151973, 108.22146069151793 16.059887772518476, 108.22147408670148 16.05994710799078))"
114,"POLYGON ((108.2213603382541 16.05993420363992, 108.22143389699251 16.059915490177808, 108.22142475365067 16.059884141319436, 108.22135121477203 16.059911287257506, 108.2213603382541 16.05993420363992))"
115,"POLYGON ((108.22130581333263 16.059888450714183, 108.22138112175065 16.05987209452634, 108.22137690248405 16.059857937174392, 108.22138665850903 16.05985319348811, 108.22138314642366 16.059843082190753, 108.22130294650702 16.05985607613449, 108.22130581333263 16.059888450714183))"
116,"POLYGON ((108.22133571237761 16.059845884997365, 108.2213670924669 16.059839744516434, 108.22136076912774 16.05982086958215, 108.22137541030904 16.059816789746264, 108.22135502911065 16.059753422030678, 108.22131737492427 16.059761600122826, 108.22133571237761 16.059845884997365))"
117,"POLYGON ((108.2212910800558 16.059853403840947, 108.22133222887662 16.059847916469458, 108.22130831337904 16.059764993073877, 108.2212713584287 16.059773844221073, 108.2212910800558 16.059853403840947))"
118,"POLYGON ((108.22121852732373 16.05985491269309, 108.22128199469043 16.059846677815646, 108.2212685646427 16.05977250116511, 108.22120440123349 16.05978141217136, 108.22121852732373 16.05985491269309))"
119,"POLYGON ((108.22116760976863 16.059859746932833, 108.22120945942271 16.059855607246654, 108.22119743899316 16.05978749890635, 108.22110955696843 16.059797136669964, 108.22112998729767 16.05988141696006, 108.22116693910007 16.059871216639923, 108.22116760976863 16.059859746932833))"
